"Name","RefersTo","Value","Visible"
"Parameters_CNCodes!_FilterDatabase","=Parameters_CNCodes!$A$3:$G$572","=Parameters_CNCodes!$A$3:$G$572","False"
"Translations!_FilterDatabase","=Translations!$A$4:$K$2107","=Translations!$A$4:$K$2107","False"
"_xlfn.IFERROR","=#NAME?","=#NAME?","False"
"_xlfn.SUMIFS","=#NAME?","=#NAME?","False"
"CNCodes_ListKey","=Parameters_CNCodes!$D$4:$D$572","=Parameters_CNCodes!$D$4:$D$572","True"
"CNCodes_ListNames","=Parameters_CNCodes!$C$4:$C$572","=Parameters_CNCodes!$C$4:$C$572","True"
"CNCodes_ListNumbering","=Parameters_CNCodes!$F$4:$F$572","=Parameters_CNCodes!$F$4:$F$572","True"
"CNTR_CBAMPeriod","=Parameters_Constants!$B$1","=Parameters_Constants!$B$1","True"
"CNTR_HasEntriesA","=A_InstData!$K$124","=A_InstData!$K$124","True"
"CNTR_IOProcAndPrec","=InputOutput!$D$71:$D$100","=InputOutput!$D$71:$D$100","True"
"CNTR_IOSupplyChain","=InputOutput!$AR$71:$BU$100","=InputOutput!$AR$71:$BU$100","True"
"CNTR_List_ExistGoodTypes","=A_InstData!$S$62:$S$71","=A_InstData!$S$62:$S$71","True"
"CNTR_List_ExistGoodTypesInclDir","=A_InstData!$S$61:$S$71","=A_InstData!$S$61:$S$71","True"
"CNTR_List_ExistProdProc","=A_InstData!$S$83:$S$92","=A_InstData!$S$83:$S$92","True"
"CNTR_List_ExistProdProcNames","=A_InstData!$T$83:$T$92","=A_InstData!$T$83:$T$92","True"
"CNTR_List_ExistPurchPrec","=A_InstData!$S$102:$S$121","=A_InstData!$S$102:$S$121","True"
"CNTR_List_ExistPurchPrecNames","=A_InstData!$T$102:$T$121","=A_InstData!$T$102:$T$121","True"
"CNTR_ListCountriesCode","=c_CodeLists!$F$11:$F$277","=c_CodeLists!$F$11:$F$277","True"
"CNTR_ListCountriesName","=c_CodeLists!$G$11:$G$277","=c_CodeLists!$G$11:$G$277","True"
"CNTR_ListCurrenciesCode","=c_CodeLists!$K$11:$K$177","=c_CodeLists!$K$11:$K$177","True"
"CNTR_ListCurrenciesName","=c_CodeLists!$L$11:$L$177","=c_CodeLists!$L$11:$L$177","True"
"CNTR_ListProdProcID","=A_InstData!$D$83:$D$92","=A_InstData!$D$83:$D$92","True"
"CNTR_ListProdProcNames","=A_InstData!$L$83:$L$92","=A_InstData!$L$83:$L$92","True"
"CNTR_ListPurchPrecID","=A_InstData!$D$102:$D$121","=A_InstData!$D$102:$D$121","True"
"CNTR_Matrix_Inv","=InputOutput!$E$71:$AH$100","=InputOutput!$E$71:$AH$100","True"
"CNTR_MatrixPurchPrecRoutes","=A_InstData!$X$102:$AB$121","=A_InstData!$X$102:$AB$121","True"
"CONST_AllProdRoutes","=Parameters_Constants!$B$63","=Parameters_Constants!$B$63","True"
"CONST_CarbonPriceType","=Parameters_Constants!$C$45:$I$45","=Parameters_Constants!$C$45:$I$45","True"
"CONST_CEMSType","=Parameters_Constants!$B$55:$C$55","=Parameters_Constants!$B$55:$C$55","True"
"CONST_CNTR_ElecEFMethod","=Parameters_Constants!$B$10","=Parameters_Constants!$B$10","True"
"CONST_CNTR_EmbedEmDir","=Parameters_Constants!$B$2","=Parameters_Constants!$B$2","True"
"CONST_CNTR_EmbedEmInDir","=Parameters_Constants!$B$11","=Parameters_Constants!$B$11","True"
"CONST_CNTR_ListGoodsForCN","=Parameters_Constants!$B$133:$S$133","=Parameters_Constants!$B$133:$S$133","True"
"CONST_CNTR_PrecNumbering","=Parameters_Constants!$BL$89:$BL$106","=Parameters_Constants!$BL$89:$BL$106","True"
"CONST_CNTR_SUM_CO2","=Parameters_Constants!$B$3","=Parameters_Constants!$B$3","True"
"CONST_CNTR_SUM_N2O","=Parameters_Constants!$B$5","=Parameters_Constants!$B$5","True"
"CONST_CNTR_SUM_PFC","=Parameters_Constants!$B$4","=Parameters_Constants!$B$4","True"
"CONST_CNTR_TotProd","=Parameters_Constants!$B$12","=Parameters_Constants!$B$12","True"
"CONST_DataQuality","=Parameters_Constants!$B$42:$F$42","=Parameters_Constants!$B$42:$F$42","True"
"CONST_DataQualityJustification","=Parameters_Constants!$B$44:$D$44","=Parameters_Constants!$B$44:$D$44","True"
"CONST_DataVerification","=Parameters_Constants!$B$43:$E$43","=Parameters_Constants!$B$43:$E$43","True"
"CONST_EFNatGas","=Parameters_Constants!$B$13","=Parameters_Constants!$B$13","True"
"CONST_ElecConsumption","=Parameters_Constants!$B$14","=Parameters_Constants!$B$14","True"
"CONST_ElecSource","=Parameters_Constants!$B$15:$H$15","=Parameters_Constants!$B$15:$H$15","True"
"CONST_EmDir","=Parameters_Constants!$B$7","=Parameters_Constants!$B$7","True"
"CONST_EmDirHeat","=Parameters_Constants!$B$8","=Parameters_Constants!$B$8","True"
"CONST_EmDirWasteGases","=Parameters_Constants!$B$9","=Parameters_Constants!$B$9","True"
"CONST_ERR_Duplicate","=Parameters_Constants!$B$67","=Parameters_Constants!$B$67","True"
"CONST_ERR_Incomplete","=Parameters_Constants!$B$65","=Parameters_Constants!$B$65","True"
"CONST_ERR_Inconsistent","=Parameters_Constants!$B$66","=Parameters_Constants!$B$66","True"
"CONST_ErrorOrMissing","=Parameters_Constants!$B$16","=Parameters_Constants!$B$16","True"
"CONST_GJ","=Parameters_Constants!$B$25","=Parameters_Constants!$B$25","True"
"CONST_GJpkNm3","=Parameters_Constants!$B$36","=Parameters_Constants!$B$36","True"
"CONST_GJpt","=Parameters_Constants!$B$28","=Parameters_Constants!$B$28","True"
"CONST_GoodToMarket","=Parameters_Constants!$B$17","=Parameters_Constants!$B$17","True"
"CONST_gpNm3","=Parameters_Constants!$B$52","=Parameters_Constants!$B$52","True"
"CONST_GWh","=Parameters_Constants!$B$29","=Parameters_Constants!$B$29","True"
"CONST_GWP_C2F6","=Parameters_Constants!$B$78","=Parameters_Constants!$B$78","True"
"CONST_GWP_CF4","=Parameters_Constants!$B$77","=Parameters_Constants!$B$77","True"
"CONST_GWP_N2O","=Parameters_Constants!$B$76","=Parameters_Constants!$B$76","True"
"CONST_hpa","=Parameters_Constants!$B$50","=Parameters_Constants!$B$50","True"
"CONST_kNm3","=Parameters_Constants!$B$27","=Parameters_Constants!$B$27","True"
"CONST_kNm3pa","=Parameters_Constants!$B$53","=Parameters_Constants!$B$53","True"
"CONST_LinkFromGuidance","=Parameters_Constants!$B$73","=Parameters_Constants!$B$73","True"
"CONST_LinkToCHPTool","=Parameters_Constants!$B$75","=Parameters_Constants!$B$75","True"
"CONST_LinkToCPTool","=Parameters_Constants!$B$74","=Parameters_Constants!$B$74","True"
"CONST_LinkToGuidanceSheet","=Parameters_Constants!$B$72","=Parameters_Constants!$B$72","True"
"CONST_LIST_Goods","=Parameters_Constants!$A$89:$A$106","=Parameters_Constants!$A$89:$A$106","True"
"CONST_LIST_GoodsIndRel","=Parameters_Constants!$D$89:$D$106","=Parameters_Constants!$D$89:$D$106","True"
"CONST_LIST_GoodsPrecAdd","=Parameters_Constants!$Q$89:$Q$106","=Parameters_Constants!$Q$89:$Q$106","True"
"CONST_LIST_GoodsProdRouteAdd","=Parameters_Constants!$F$89:$F$106","=Parameters_Constants!$F$89:$F$106","True"
"CONST_LIST_GoodsProdRouteRel","=Parameters_Constants!$E$89:$E$106","=Parameters_Constants!$E$89:$E$106","True"
"CONST_LIST_GoodsUnit","=Parameters_Constants!$B$89:$B$106","=Parameters_Constants!$B$89:$B$106","True"
"CONST_MATRIX_ProductionRoute","=Parameters_Constants!$G$89:$P$106","=Parameters_Constants!$G$89:$P$106","True"
"CONST_MATRIX_SpecialPara","=Parameters_Constants!$B$110:$I$127","=Parameters_Constants!$B$110:$I$127","True"
"CONST_MeasDefaultUnknown","=Parameters_Constants!$B$69:$D$69","=Parameters_Constants!$B$69:$D$69","True"
"CONST_MeasuredOrDefault","=Parameters_Constants!$B$68:$C$68","=Parameters_Constants!$B$68:$C$68","True"
"CONST_MonitoringApproach","=Parameters_Constants!$B$56:$D$56","=Parameters_Constants!$B$56:$D$56","True"
"CONST_MsgJumpkNextSheet","=Parameters_Constants!$B$60","=Parameters_Constants!$B$60","True"
"CONST_MsgMissingProdProc","=Parameters_Constants!$B$59","=Parameters_Constants!$B$59","True"
"CONST_MWh","=Parameters_Constants!$B$30","=Parameters_Constants!$B$30","True"
"CONST_NA","=Parameters_Constants!$B$18","=Parameters_Constants!$B$18","True"
"CONST_Nm3ph","=Parameters_Constants!$B$51","=Parameters_Constants!$B$51","True"
"CONST_OnlyDirProd","=Parameters_Constants!$B$62","=Parameters_Constants!$B$62","True"
"CONST_PFCSlopeOrOvervoltage","=Parameters_Constants!$B$57:$C$57","=Parameters_Constants!$B$57:$C$57","True"
"CONST_PleaseSelect","=Parameters_Constants!$B$64","=Parameters_Constants!$B$64","True"
"CONST_PrecursorToGoodInput","=Parameters_Constants!$B$19","=Parameters_Constants!$B$19","True"
"CONST_ProductionProcess","=Parameters_Constants!$B$70","=Parameters_Constants!$B$70","True"
"CONST_PurchPrecDefaultUsed","=Parameters_Constants!$B$61","=Parameters_Constants!$B$61","True"
"CONST_PurchPrecursor","=Parameters_Constants!$B$71","=Parameters_Constants!$B$71","True"
"CONST_RebateType","=Parameters_Constants!$C$46:$G$46","=Parameters_Constants!$C$46:$G$46","True"
"CONST_ReducingAgent","=Parameters_Constants!$B$58:$E$58","=Parameters_Constants!$B$58:$E$58","True"
"CONST_t","=Parameters_Constants!$B$26","=Parameters_Constants!$B$26","True"
"CONST_tC","=Parameters_Constants!$B$37","=Parameters_Constants!$B$37","True"
"CONST_tCO2","=Parameters_Constants!$B$31","=Parameters_Constants!$B$31","True"
"CONST_tCO2eq","=Parameters_Constants!$B$32","=Parameters_Constants!$B$32","True"
"CONST_tCO2pkNm3","=Parameters_Constants!$B$35","=Parameters_Constants!$B$35","True"
"CONST_tCO2pt","=Parameters_Constants!$B$33","=Parameters_Constants!$B$33","True"
"CONST_tCO2pTJ","=Parameters_Constants!$B$34","=Parameters_Constants!$B$34","True"
"CONST_tCO2pTJOrtCO2pt","=Parameters_Constants!$B$47:$D$47","=Parameters_Constants!$B$47:$D$47","True"
"CONST_tCpkNm3","=Parameters_Constants!$B$39","=Parameters_Constants!$B$39","True"
"CONST_tCpt","=Parameters_Constants!$B$38","=Parameters_Constants!$B$38","True"
"CONST_TJ","=Parameters_Constants!$B$24","=Parameters_Constants!$B$24","True"
"CONST_tonnes","=Parameters_Constants!$B$20","=Parameters_Constants!$B$20","True"
"CONST_torkNm3","=Parameters_Constants!$B$23:$C$23","=Parameters_Constants!$B$23:$C$23","True"
"CONST_TransitionalOrDefinitive","=Parameters_Constants!$B$21:$C$21","=Parameters_Constants!$B$21:$C$21","True"
"CONST_TrueFalse","=Parameters_Constants!$B$22:$C$22","=Parameters_Constants!$B$22:$C$22","True"
"CONST_Year","=Parameters_Constants!$B$54","=Parameters_Constants!$B$54","True"
